topic,link
Art in storage,https://www.coventry.gov.uk/directory-record/57929/art-in-storage
Art in Storage,https://www.coventry.gov.uk/directory-record/47397/art-in-storage
Article 3 of the Human Rights Act.,https://www.coventry.gov.uk/directory-record/45229/article-3-of-the-human-rights-act-
Article 4 Directions for HMO's,https://www.coventry.gov.uk/directory-record/44307/article-4-directions-for-hmo-s
Artwork owned by the Council,https://www.coventry.gov.uk/directory-record/48692/artwork-owned-by-the-council
Artwork sold by the Council.,https://www.coventry.gov.uk/directory-record/44143/artwork-sold-by-the-council-
Asbestos in Schools: REQ01714,https://www.coventry.gov.uk/directory-record/48298/asbestos-in-schools-req01714
Asbestos in Schools: REQ02518,https://www.coventry.gov.uk/directory-record/48493/asbestos-in-schools-req02518
Asbestos Management,https://www.coventry.gov.uk/directory-record/48628/asbestos-management
Asbestos removal in M&S.,https://www.coventry.gov.uk/directory-record/44474/asbestos-removal-in-m-s-
Asbestos Survey from Tile Hill College.,https://www.coventry.gov.uk/directory-record/46577/asbestos-survey-from-tile-hill-college-
Asbestos Survey of Spencer Park 2014,https://www.coventry.gov.uk/directory-record/47018/asbestos-survey-of-spencer-park-2014
ASBOs and CRASBOs served.,https://www.coventry.gov.uk/directory-record/46578/asbos-and-crasbos-served-
ASD teaching staff.,https://www.coventry.gov.uk/directory-record/45062/asd-teaching-staff-
Assault against refuse collectors,https://www.coventry.gov.uk/directory-record/43745/assault-against-refuse-collectors
Assaults against housing staff: 20105600,https://www.coventry.gov.uk/directory-record/44971/assaults-against-housing-staff-20105600
Assaults against housing staff: 20122703,https://www.coventry.gov.uk/directory-record/43601/assaults-against-housing-staff-20122703
Assaults at public libraries,https://www.coventry.gov.uk/directory-record/57663/assaults-at-public-libraries
Assaults on civil enforcement officers,https://www.coventry.gov.uk/directory-record/58077/assaults-on-civil-enforcement-officers
Assaults on Council staff.,https://www.coventry.gov.uk/directory-record/46453/assaults-on-council-staff-
Assaults on Housing Staff,https://www.coventry.gov.uk/directory-record/48159/assaults-on-housing-staff
Assaults on refuse collectors by the public,https://www.coventry.gov.uk/directory-record/57905/assaults-on-refuse-collectors-by-the-public
Assaults on Refuse Collectors: 20108247,https://www.coventry.gov.uk/directory-record/44888/assaults-on-refuse-collectors-20108247
Assaults on Refuse Collectors: REQ01438,https://www.coventry.gov.uk/directory-record/43896/assaults-on-refuse-collectors-req01438
Assaults on Refuse Collectors: REQ02837,https://www.coventry.gov.uk/directory-record/48536/assaults-on-refuse-collectors-req02837
Assaults on traffic wardens,https://www.coventry.gov.uk/directory-record/49147/assaults-on-traffic-wardens
Assessed and Supported Social Workers in 1st Year in Employment: REQ00496 (1),https://www.coventry.gov.uk/directory-record/47486/assessed-and-supported-social-workers-in-1st-year-in-employment-req00496-1-
Assessed and Supported Social Workers in 1st Year in Employment: REQ00496 (2),https://www.coventry.gov.uk/directory-record/47527/assessed-and-supported-social-workers-in-1st-year-in-employment-req00496-2-
Assessment framework for schools,https://www.coventry.gov.uk/directory-record/47179/assessment-framework-for-schools
Assessments of the kerbs on Leaf Lane.,https://www.coventry.gov.uk/directory-record/43600/assessments-of-the-kerbs-on-leaf-lane-
"Assessments under Care Act, Mental Capacity Act and DoLS",https://www.coventry.gov.uk/directory-record/49188/assessments-under-care-act-mental-capacity-act-and-dols
Asset Management Software for housing stock.,https://www.coventry.gov.uk/directory-record/43947/asset-management-software-for-housing-stock-
Asset management system for council assets and highways.,https://www.coventry.gov.uk/directory-record/46454/asset-management-system-for-council-assets-and-highways-
Assets of Community Value: REQ01309,https://www.coventry.gov.uk/directory-record/48081/assets-of-community-value-req01309
Assets of Community Value: REQ07393,https://www.coventry.gov.uk/directory-record/45560/assets-of-community-value-req07393
Assistant Directors of Adults and Children's Services,https://www.coventry.gov.uk/directory-record/48018/assistant-directors-of-adults-and-children-s-services
Assisted Living and Sheltered Housing,https://www.coventry.gov.uk/directory-record/46894/assisted-living-and-sheltered-housing
"Associated Alarm Survey, Road Maintenance & Potholes",https://www.coventry.gov.uk/directory-record/48051/associated-alarm-survey-road-maintenance-potholes
Asylum Seeker Children that were in Authority's Care,https://www.coventry.gov.uk/directory-record/47852/asylum-seeker-children-that-were-in-authority-s-care
Asylum Seekers Figures,https://www.coventry.gov.uk/directory-record/47847/asylum-seekers-figures
Asylum seekers in the care of the authority ,https://www.coventry.gov.uk/directory-record/48106/asylum-seekers-in-the-care-of-the-authority-
Asylum seekers receiving Section 95 support,https://www.coventry.gov.uk/directory-record/57295/asylum-seekers-receiving-section-95-support
Asylum Seekers/Refugees,https://www.coventry.gov.uk/directory-record/47088/asylum-seekers-refugees
Asylum-seeking children and young people,https://www.coventry.gov.uk/directory-record/46995/asylum-seeking-children-and-young-people
Asylum-seeking minors.,https://www.coventry.gov.uk/directory-record/45061/asylum-seeking-minors-
Attacks on buses,https://www.coventry.gov.uk/directory-record/58897/attacks-on-buses
Attempting to trace a relative.,https://www.coventry.gov.uk/directory-record/46579/attempting-to-trace-a-relative-
Attempts by parent/s to mislead the authorities/schools about where they live.,https://www.coventry.gov.uk/directory-record/45440/attempts-by-parent-s-to-mislead-the-authorities-schools-about-where-they-live-
Attendance penalty notices in schools.,https://www.coventry.gov.uk/directory-record/43811/attendance-penalty-notices-in-schools-
Attendance Records and School Fines,https://www.coventry.gov.uk/directory-record/47904/attendance-records-and-school-fines
Audit Plan,https://www.coventry.gov.uk/directory-record/47443/audit-plan
Auditor details,https://www.coventry.gov.uk/directory-record/46455/auditor-details
Auditor's Report in the Public Interest,https://www.coventry.gov.uk/directory-record/47827/auditor-s-report-in-the-public-interest
Auditory Processing Disorder,https://www.coventry.gov.uk/directory-record/44842/auditory-processing-disorder
Authority's target for voter registration,https://www.coventry.gov.uk/directory-record/45923/authority-s-target-for-voter-registration
Autism Strategy,https://www.coventry.gov.uk/directory-record/58351/autism-strategy
Automated Recruitment,https://www.coventry.gov.uk/directory-record/48844/automated-recruitment
Automated starters/leavers process,https://www.coventry.gov.uk/directory-record/43465/automated-starters-leavers-process
Automatic doors contract.,https://www.coventry.gov.uk/directory-record/43810/automatic-doors-contract-
Automatic Wash/Dry Toilets,https://www.coventry.gov.uk/directory-record/43664/automatic-wash-dry-toilets
Automation in welfare decisions ,https://www.coventry.gov.uk/directory-record/48909/automation-in-welfare-decisions-
Avenue Bowls Club ,https://www.coventry.gov.uk/directory-record/45639/avenue-bowls-club-
Average caseload - Social Workers,https://www.coventry.gov.uk/directory-record/44970/average-caseload-social-workers
Average caseload of children's social workers,https://www.coventry.gov.uk/directory-record/46819/average-caseload-of-children-s-social-workers
Average Cost of Place at Corley Centre,https://www.coventry.gov.uk/directory-record/57432/average-cost-of-place-at-corley-centre
Average length of service and employees who have more than 25 years service,https://www.coventry.gov.uk/directory-record/44033/average-length-of-service-and-employees-who-have-more-than-25-years-service
Average number of days between tenancies.,https://www.coventry.gov.uk/directory-record/46222/average-number-of-days-between-tenancies-
Average speed cameras on London Road ,https://www.coventry.gov.uk/directory-record/48753/average-speed-cameras-on-london-road-
Average spend - waste etc,https://www.coventry.gov.uk/directory-record/47150/average-spend-waste-etc
Average time taken to pay invoices submitted by suppliers.,https://www.coventry.gov.uk/directory-record/46290/average-time-taken-to-pay-invoices-submitted-by-suppliers-
Average wait times for an Adult Social Work needs assessment ,https://www.coventry.gov.uk/directory-record/45759/average-wait-times-for-an-adult-social-work-needs-assessment-
Avoidable Deaths in Care Homes,https://www.coventry.gov.uk/directory-record/48662/avoidable-deaths-in-care-homes
Award received to cover the crisis loan scheme,https://www.coventry.gov.uk/directory-record/44380/award-received-to-cover-the-crisis-loan-scheme
Axholme House Housing Benefits Revision,https://www.coventry.gov.uk/directory-record/48008/axholme-house-housing-benefits-revision
B&B Accommodation and Housing Benefit,https://www.coventry.gov.uk/directory-record/45343/b-b-accommodation-and-housing-benefit
B1 to C3 conversions,https://www.coventry.gov.uk/directory-record/47282/b1-to-c3-conversions
B4428 Coventry Road footpath works near Coombe Abbey,https://www.coventry.gov.uk/directory-record/47791/b4428-coventry-road-footpath-works-near-coombe-abbey
BAAF Form,https://www.coventry.gov.uk/directory-record/47300/baaf-form
Backdated supplement for contracted sleep night rate,https://www.coventry.gov.uk/directory-record/45578/backdated-supplement-for-contracted-sleep-night-rate
Backlog of road repair work and expenditure.,https://www.coventry.gov.uk/directory-record/43966/backlog-of-road-repair-work-and-expenditure-
BACS and Direct Debit software,https://www.coventry.gov.uk/directory-record/45687/bacs-and-direct-debit-software
Bad weather travel policy,https://www.coventry.gov.uk/directory-record/44378/bad-weather-travel-policy
Bailiff enforcement policy and tender criteria.,https://www.coventry.gov.uk/directory-record/44748/bailiff-enforcement-policy-and-tender-criteria-
Bailiff/debt recovery contractors: 20096144,https://www.coventry.gov.uk/directory-record/45154/bailiff-debt-recovery-contractors-20096144
Bailiff/debt recovery contractors: 20122259,https://www.coventry.gov.uk/directory-record/44032/bailiff-debt-recovery-contractors-20122259
Bailiffs and Parking Enforcement services,https://www.coventry.gov.uk/directory-record/45775/bailiffs-and-parking-enforcement-services
